import time: self [us] | cumulative | imported package
import time:       999 |        999 |               pandas.core.sorting
import time:      1104 |       3042 |             pandas.core.arrays.base
import time:      2261 |       2261 |               pandas.core.nanops
import time:       628 |        628 |               pandas.core.array_algos.masked_accumulations
import time:       620 |        620 |               pandas.core.array_algos.masked_reductions
import time:       474 |        474 |                 pandas.core.util
import time:       894 |        894 |                 pandas._libs.hashing
import time:       671 |       2038 |               pandas.core.util.hashing
import time:      1642 |       7186 |             pandas.core.arrays.masked
import time:       877 |        877 |               pandas._libs.arrays
import time:       602 |        602 |                 pandas.core.arrays.numeric
import time:       612 |       1214 |               pandas.core.arrays.floating
import time:       537 |        537 |               pandas.core.arrays.integer
import time:       947 |        947 |                   pandas.core.array_algos.transforms
import time:      1221 |       2167 |                 pandas.core.arrays._mixins
import time:       652 |        652 |                   pandas.core.strings
import time:       858 |        858 |                   pandas.core.strings.base
import time:      1007 |       2517 |                 pandas.core.strings.object_array
import time:      1557 |       6240 |               pandas.core.arrays.numpy_
import time:      1017 |       9884 |             pandas.core.arrays.string_
import time:       663 |        663 |               pandas.tseries
import time:       805 |       1468 |             pandas.tseries.frequencies
import time:      3427 |      37701 |           pandas.core.arrays.arrow.array
import time:       628 |      74241 |         pandas.core.arrays.arrow
import time:       677 |        677 |         pandas.core.arrays.boolean
import time:        80 |         80 |             _csv
import time:       880 |        959 |           csv
import time:       361 |        361 |                 posix
import time:       169 |        530 |               posixpath
import time:       559 |       1088 |             fnmatch
import time:        72 |         72 |             zlib
import time:      1016 |       2176 |           shutil
import time:      1342 |       1342 |           pandas.core.accessor
import time:      1074 |       1074 |           pandas.core.base
import time:       513 |        513 |           pandas.io.formats
import time:       492 |        492 |           pandas.io.formats.console
import time:      1203 |       7756 |         pandas.core.arrays.categorical
import time:       955 |        955 |           pandas._libs.tslib
import time:       430 |        430 |             pandas.core.array_algos.datetimelike_accumulations
import time:      1605 |       2035 |           pandas.core.arrays.datetimelike
import time:       499 |        499 |           pandas.core.arrays._ranges
import time:       505 |        505 |           pandas.tseries.offsets
import time:       917 |       4908 |         pandas.core.arrays.datetimes
import time:       949 |        949 |           pandas.core.arrays.timedeltas
import time:      2767 |       3715 |         pandas.core.arrays.interval
import time:      1717 |       1717 |         pandas.core.arrays.period
import time:      1107 |       1107 |               pandas._libs.sparse
import time:      1233 |       1233 |               pandas.io.formats.printing
import time:       918 |       3257 |             pandas.core.arrays.sparse.array
import time:       677 |       3933 |           pandas.core.arrays.sparse.accessor
import time:       762 |       4695 |         pandas.core.arrays.sparse
import time:       431 |        431 |           pandas.core.arrays.arrow._arrow_utils
import time:       964 |       1395 |         pandas.core.arrays.string_arrow
import time:       705 |      99807 |       pandas.core.arrays
import time:       421 |        421 |       pandas.core.flags
import time:       455 |        455 |               backports_abc
import time:      1417 |       1871 |             pandas._libs.internals
import time:       567 |        567 |               pandas.core._numba
import time:       768 |       1334 |             pandas.core._numba.executor
import time:      1613 |       4818 |           pandas.core.apply
import time:        57 |         57 |                     _json
import time:       698 |        755 |                   json.scanner
import time:       826 |       1580 |                 json.decoder
import time:      1467 |       1467 |                 json.encoder
import time:       754 |       3801 |               json
import time:       688 |        688 |                 pandas._libs.indexing
import time:       444 |        444 |                   pandas.core.indexes
import time:       405 |        405 |                       backports_abc
import time:      1413 |       1818 |                     pandas._libs.index
import time:       625 |        625 |                     pandas._libs.writers
import time:      1242 |       1242 |                     pandas._libs.join
import time:       587 |        587 |                     pandas.core.array_algos.putmask
import time:       499 |        499 |                     pandas.core.indexes.frozen
import time:      2322 |       2322 |                     pandas.core.strings.accessor
import time:      2206 |       9297 |                   pandas.core.indexes.base
import time:       651 |        651 |                     pandas.core.indexes.extension
import time:       841 |       1492 |                   pandas.core.indexes.category
import time:      1054 |       1054 |                       pandas.core.indexes.range
import time:       659 |        659 |                         pandas.core.tools
import time:       576 |       1235 |                       pandas.core.tools.timedeltas
import time:      1041 |       3328 |                     pandas.core.indexes.datetimelike
import time:       556 |        556 |                     pandas.core.tools.times
import time:      1179 |       5062 |                   pandas.core.indexes.datetimes
import time:      1538 |       1538 |                     pandas.core.indexes.multi
import time:       532 |        532 |                     pandas.core.indexes.timedeltas
import time:      1164 |       3232 |                   pandas.core.indexes.interval
import time:       924 |        924 |                   pandas.core.indexes.period
import time:       797 |      21245 |                 pandas.core.indexes.api
import time:      1686 |      23619 |               pandas.core.indexing
import time:       857 |        857 |               pandas.core.sample
import time:       748 |        748 |               pandas.core.array_algos.replace
import time:      1015 |       1015 |                   pandas.core.internals.blocks
import time:       569 |       1584 |                 pandas.core.internals.api
import time:       641 |        641 |                   pandas.core.internals.base
import time:       615 |        615 |                     pandas.core.internals.ops
import time:      1428 |       2042 |                   pandas.core.internals.managers
import time:       856 |       3538 |                 pandas.core.internals.array_manager
import time:       677 |        677 |                 pandas.core.internals.concat
import time:       564 |       6362 |               pandas.core.internals
import time:       957 |        957 |               pandas.core.internals.construction
import time:       473 |        473 |                 pandas.core.methods
import time:       407 |        407 |                   pandas.core.reshape
import time:       629 |       1035 |                 pandas.core.reshape.concat
import time:       885 |        885 |                     dataclasses
import time:       772 |        772 |                     gzip
import time:        58 |         58 |                     mmap
import time:      1159 |       1159 |                     pathlib
import time:       390 |        390 |                       pwd
import time:       289 |        289 |                       grp
import time:      1285 |       1963 |                     tarfile
import time:       551 |        551 |                         zipfile._path.glob
import time:       789 |       1340 |                       zipfile._path
import time:      1210 |       2549 |                     zipfile
import time:       392 |        392 |                     pandas.core.shared_docs
import time:      1628 |       9404 |                   pandas.io.common
import time:      1092 |      10495 |                 pandas.io.formats.format
import time:       640 |      12642 |               pandas.core.methods.describe
import time:       416 |        416 |                     pandas._libs.window
import time:      2318 |       2733 |                   pandas._libs.window.aggregations
import time:      1013 |       1013 |                     pandas._libs.window.indexers
import time:      1169 |       2182 |                   pandas.core.indexers.objects
import time:       585 |        585 |                   pandas.core.util.numba_
import time:       563 |        563 |                   pandas.core.window.common
import time:       627 |        627 |                   pandas.core.window.doc
import time:       564 |        564 |                   pandas.core.window.numba_
import time:       478 |        478 |                   pandas.core.window.online
import time:      1982 |       1982 |                   pandas.core.window.rolling
import time:      1099 |      10809 |                 pandas.core.window.ewm
import time:      2329 |       2329 |                 pandas.core.window.expanding
import time:       558 |      13695 |               pandas.core.window
import time:      6124 |      68800 |             pandas.core.generic
import time:       775 |        775 |             pandas.core.methods.selectn
import time:       512 |        512 |               pandas.core.reshape.util
import time:       547 |        547 |               pandas.core.tools.numeric
import time:       892 |       1950 |             pandas.core.reshape.melt
import time:      1050 |       1050 |               pandas._libs.reshape
import time:      1001 |       1001 |               pandas.core.indexes.accessors
import time:       611 |        611 |                 pandas.arrays
import time:       943 |       1554 |               pandas.core.tools.datetimes
import time:      1078 |       1078 |               pandas.io.formats.info
import time:      1499 |       1499 |                 pandas.plotting._core
import time:       550 |        550 |                 pandas.plotting._misc
import time:       628 |       2676 |               pandas.plotting
import time:      4187 |      11544 |             pandas.core.series
import time:      7483 |      90550 |           pandas.core.frame
import time:      2507 |       2507 |           pandas.core.groupby.base
import time:       389 |        389 |               backports_abc
import time:      1647 |       2036 |             pandas._libs.groupby
import time:       560 |        560 |               pandas.core.groupby.categorical
import time:       944 |       1504 |             pandas.core.groupby.grouper
import time:      1393 |       4931 |           pandas.core.groupby.ops
import time:       458 |        458 |             pandas.core.groupby.numba_
import time:       782 |        782 |             pandas.core.groupby.indexing
import time:      2232 |       3472 |           pandas.core.groupby.groupby
import time:      2500 |     108776 |         pandas.core.groupby.generic
import time:       439 |     109215 |       pandas.core.groupby
import time:       768 |     286313 |     pandas.core.api
import time:       777 |        777 |     pandas.tseries.api
import time:       470 |        470 |             pandas.core.computation.common
import time:       546 |       1016 |           pandas.core.computation.align
import time:      1106 |       1106 |               pprint
import time:       851 |       1956 |             pandas.core.computation.scope
import time:      1213 |       3168 |           pandas.core.computation.ops
import time:       595 |       4779 |         pandas.core.computation.engines
import time:       459 |        459 |           pandas.core.computation.parsing
import time:      1275 |       1733 |         pandas.core.computation.expr
import time:       495 |       7006 |       pandas.core.computation.eval
import time:       463 |       7468 |     pandas.core.computation.api
import time:       533 |        533 |       pandas.core.reshape.encoding
import time:      1034 |       1034 |       pandas.core.reshape.merge
import time:       867 |        867 |       pandas.core.reshape.pivot
import time:       464 |        464 |       pandas.core.reshape.tile
import time:       473 |       3369 |     pandas.core.reshape.api
import time:       572 |        572 |       pandas.api.extensions
import time:       609 |        609 |       pandas.api.indexers
import time:       396 |        396 |           pandas.core.interchange
import time:      1124 |       1520 |         pandas.core.interchange.dataframe_protocol
import time:       451 |        451 |           pandas.core.interchange.utils
import time:       497 |        947 |         pandas.core.interchange.from_dataframe
import time:       453 |       2918 |       pandas.api.interchange
import time:       421 |        421 |         pandas.core.dtypes.api
import time:       439 |        860 |       pandas.api.types
import time:      1490 |       1490 |         pandas.core.resample
import time:      1103 |       1103 |               pandas._libs.json
import time:       611 |        611 |               pandas.io.json._normalize
import time:       581 |        581 |               pandas.io.json._table_schema
import time:       380 |        380 |                       backports_abc
import time:      1130 |       1510 |                     pandas._libs.parsers
import time:      1328 |       1328 |                       pandas.io.parsers.base_parser
import time:       557 |       1885 |                     pandas.io.parsers.arrow_parser_wrapper
import time:       531 |        531 |                     pandas.io.parsers.c_parser_wrapper
import time:       674 |        674 |                     pandas.io.parsers.python_parser
import time:      2095 |       6694 |                   pandas.io.parsers.readers
import time:       430 |       7123 |                 pandas.io.parsers
import time:        25 |       7148 |               pandas.io.parsers.readers
import time:      1205 |      10646 |             pandas.io.json._json
import time:       452 |      11097 |           pandas.io.json
import time:        25 |      11122 |         pandas.io.json._json
import time:      1619 |       1619 |         pandas.io.stata
import time:       508 |      14738 |       pandas.api.typing
import time:       658 |      20354 |     pandas.api
import time:      1492 |       1492 |             tempfile
import time:       657 |       2149 |           pandas._testing.contexts
import time:       706 |       2854 |         pandas._testing._io
import time:       562 |        562 |         pandas._testing._warnings
import time:        63 |         63 |             cmath
import time:       948 |       1010 |           pandas._libs.testing
import time:      1326 |       2336 |         pandas._testing.asserters
import time:       499 |        499 |         pandas._testing.compat
import time:      1070 |       7319 |       pandas._testing
import time:       440 |       7759 |     pandas.testing
